위도,경도,기관명
35.8538871,128.4801355,계명대학교동산병원
35.81469791,128.5250923,나사렛종합병원
35.85264535,128.5449724,더블유병원
35.83250638,128.5535563,삼일병원
35.85064264,128.5413828,의료법인구의료재단 구병원
35.80288797,128.5517348,한국보훈복지의료공단 대구보훈병원
35.81345343,128.525239,(의)서봉의료재단 보강병원
35.81329928,128.5213207,달서미즈맘병원
35.8505249,128.539511,더나은병원
35.85110601,128.5385628,더열린병원
35.81905405,128.5366968,마디탄탄병원
35.85121305,128.5368032,미래여성병원
35.81148577,128.5175797,백두병원
35.83675189,128.5416645,보광병원
35.85104881,128.4932264,성서병원
35.83789305,128.5364365,에스병원
35.81608424,128.5295833,여성아이병원
35.84955946,128.5357182,열린아동병원
35.83681628,128.5373701,우리병원
35.85690806,128.5568597,의료법인명문의료재단 대구기독병원
35.8573514,128.558435,의료법인상보의료재단 대구경상병원
35.83364241,128.5396399,의료법인열경의료재단 허병원
35.83664306,128.5516923,의료법인 일민의료재단 세강병원
35.85510995,128.5028286,의료법인해성의료재단해성아리즈웰병원
35.8110469,128.5169351,진천신라병원
35.83029821,128.5515819,참조은병원
35.85483038,128.5113852,한미병원
35.85404428,128.5485138,대구S한방병원
35.81856669,128.5348232,광명한방병원
35.82502356,128.5279716,수월한방병원
35.8542145,128.5467657,잘보는한방병원
35.85215632,128.5434966,창한방병원
35.83791698,128.5568815,곽치과병원
35.81819979,128.5362483,라온치과병원
35.83710735,128.5565438,서부라온치과병원
35.85092012,128.5378087,에프엠치과병원
35.821599,128.5207763,제로치과병원
35.84915715,128.5469634,미주병원
35.85493476,128.5508782,베스트병원
35.85129309,128.5390512,서대구대동병원
35.8606118,128.5742028,위드병원
35.85219826,128.5731899,대구명성요양병원
35.81449849,128.5274038,대구행복요양병원
35.82002923,128.5403222,상인요양병원
35.84803838,128.5188363,성서요양병원
35.82874495,128.5502651,송현효요양병원
35.8501251,128.5301312,신홍도요양병원
35.81518397,128.5272977,월배요양병원
35.8573514,128.558435,의료법인상보의료재단 대구경상요양병원
35.83199586,128.5508963,중앙요양병원
35.83902224,128.5576088,한결요양병원
35.83317022,128.5542361,해오름요양병원
35.85153984,128.5732847,휴요양병원
35.81718285,128.523659,e드림치과의원
35.82192024,128.5285929,E-행복한치과의원
35.82480089,128.525314,가온해치과의원
35.8532319,128.4788686,강창더좋은치과의원
35.83158937,128.533151,건도미치과의원
35.84811352,128.5284572,고른이연합치과의원
35.82411628,128.5454077,고앤박치과의원
35.84955946,128.5357182,고운치과의원
35.85152556,128.4999828,공단치과의원
35.85566593,128.5525994,광장치과의원
35.85570432,128.4986362,구일치과의원
35.82438159,128.5243262,굿웰치과의원
35.8537866,128.5477038,권부부치과의원
35.81739386,128.5450739,권순복옥치과의원
35.84934214,128.5339233,권앤김플란트치과의원
35.83781625,128.557224,권치과의원
35.81321984,128.5209329,그랜드치과의원
35.85779091,128.5291084,길치과의원
35.8077806,128.5301145,김병삼치과의원
35.85920611,128.5627219,김석호치과의원
35.85048245,128.5719929,김성진치과의원
35.84526642,128.544324,김소진치과의원
35.85533013,128.495412,김승민치과의원
35.83744891,128.5489306,김영재치과의원
35.80693632,128.5375445,김종원치과의원
35.83763366,128.5420026,김종환치과의원
35.83161796,128.5307715,김창희치과의원
35.85501535,128.5123939,노치과의원
35.81589672,128.5291837,늘곁에구강내과치과의원
35.84308719,128.5418959,늘봄치과의원
35.82519371,128.5463226,니즈연합치과의원
35.81414241,128.5222669,다인치과의원
35.8153036,128.5205482,달서참조은치과의원
35.81496073,128.5268204,달서치과의원
35.80731242,128.5340615,대곡더좋은치과의원
35.80723419,128.5354331,대곡치과의원
35.8398497,128.5442648,대구민치과의원
35.8571589,128.5308075,대구본플란트치과의원
35.81623903,128.5312664,대구심플라인치과의원
35.85515612,128.5047111,대구에스치과의원
35.85394679,128.5461771,더원연합치과의원
35.81392961,128.5214576,더원치과의원
35.83686255,128.547067,도기용치과의원
35.85417785,128.5488691,도치과의원
35.81330797,128.5456988,동서연합치과의원
35.81688208,128.5325986,디지털온치과의원
35.8510425?128.5375312,,똑디치과의원
35.85502574,128.5120729,라임치과의원
35.81758446,128.5327472,램브란트치과의원 상인점
35.80965517,128.5135954,로뎀치과의원
35.821599,128.5207763,로즈치과교정과치과의원
35.80717774,128.5359638,로하스치과의원
35.81834314,128.5344233,리더스치과의원
35.81855456,128.5355203,맥앤정인치과의원
35.80760993,128.5360663,메디안연합치과의원
35.85427987,128.5094331,명문치과의원
35.82426708,128.5257753,미뉴치과교정과치과의원
35.85848585,128.5309399,미담치과의원
35.85025339,128.4736813,미라인치과의원
35.85393449,128.5185095,미부부치과의원
35.82115374,128.5286764,미소담치과의원
35.83547125,128.5556136,미소본치과의원
35.81916458,128.5218682,미주치과의원
35.82237397,128.5479854,바른길구강악안면외과치과의원
35.85508885,128.5078329,바른이연합치과의원
35.81866168,128.5377676,바오로치과의원
35.83404219,128.5488628,박현탁치과의원
35.85559881,128.5213104,밝은e치과의원
35.843353,128.536769,밝은결치과의원
35.85042049,128.5346501,배치과의원
35.81850138,128.5373349,베스트연합치과의원
35.81545362,128.5295127,보스톤스마일치과의원
35.84334216,128.5312483,본리치과의원
35.85365234,128.5455219,분도치과의원
35.85572805,128.5528102,불꽃치과의원
35.81812444,128.5389813,뿌리연합치과의원
35.85629,128.554283,삼마치과의원
35.85025339,128.4736813,삼성제일치과의원
35.82211981,128.5344044,상인강치과의원
